data_execucao_simulada,data_base_previsao,horizonte_dias,previsao_classe,probabilidades,preco_inicial,preco_final,retorno_real,classe_real
2025-09-09,2025-09-08,30,Cai muito,"{""Cai"": 0.023397831257013814, ""Cai muito"": 0.5137836447736543, ""Na mesma"": 0.017640433804299038, ""Sobe"": 0.3004270455377439, ""Sobe muito"": 0.14475104462728902}",,,,
2025-09-09,2025-09-08,90,Cai muito,"{""Cai"": 0.030928070871269187, ""Cai muito"": 0.9096888689495508, ""Na mesma"": 0.01880306083922956, ""Sobe"": 0.01764520678397757, ""Sobe muito"": 0.022934792555972812}",,,,
2025-09-10,2025-09-09,1,Na mesma,"{""Cai"": 0.1455863215002203, ""Cai muito"": 0.20435070130188362, ""Na mesma"": 0.39398611014637114, ""Sobe"": 0.22225003341288974, ""Sobe muito"": 0.03382683363863514}",2516.0,2518.25,0.0008942766295707473,Na mesma
2025-09-10,2025-09-09,5,Cai muito,"{""Cai"": 0.1293122445936512, ""Cai muito"": 0.3132315852479463, ""Na mesma"": 0.1313028673554717, ""Sobe"": 0.27896169282965716, ""Sobe muito"": 0.14719160997327355}",2516.0,2591.0,0.029809220985691574,Na mesma
2025-09-10,2025-09-09,30,Cai muito,"{""Cai"": 0.022203930189751604, ""Cai muito"": 0.501437576367125, ""Na mesma"": 0.01008506413916428, ""Sobe"": 0.34118798738221784, ""Sobe muito"": 0.12508544192174123}",,,,
2025-09-10,2025-09-09,90,Cai muito,"{""Cai"": 0.02310489199201755, ""Cai muito"": 0.92385614385639, ""Na mesma"": 0.018899058963725093, ""Sobe"": 0.015378842981412365, ""Sobe muito"": 0.018761062206455015}",,,,
2025-09-11,2025-09-10,1,Na mesma,"{""Cai"": 0.16862007413308144, ""Cai muito"": 0.1250614857360754, ""Na mesma"": 0.4666346926363534, ""Sobe"": 0.2046073785467057, ""Sobe muito"": 0.0350763689477841}",2518.25,2587.75,0.027598530725702373,Na mesma
2025-09-11,2025-09-10,5,Cai muito,"{""Cai"": 0.06840996939041785, ""Cai muito"": 0.4329298348585931, ""Na mesma"": 0.06912063824240584, ""Sobe"": 0.34429581687569755, ""Sobe muito"": 0.08524374063288584}",2518.25,2591.0,0.02888910950064529,Na mesma
2025-09-11,2025-09-10,30,Cai muito,"{""Cai"": 0.025024024776609675, ""Cai muito"": 0.5102375533009124, ""Na mesma"": 0.03897785719900967, ""Sobe"": 0.24258699618226776, ""Sobe muito"": 0.18317356854120054}",,,,
2025-09-11,2025-09-10,90,Cai muito,"{""Cai"": 0.027318595213148247, ""Cai muito"": 0.8984459256097206, ""Na mesma"": 0.02631638330371261, ""Sobe"": 0.020603773729323288, ""Sobe muito"": 0.02731532214409519}",,,,
2025-09-12,2025-09-11,1,Na mesma,"{""Cai"": 0.13438344774256905, ""Cai muito"": 0.14357060375190425, ""Na mesma"": 0.4990055542314418, ""Sobe"": 0.18538795355421273, ""Sobe muito"": 0.037652440719872074}",2587.75,2583.75,-0.0015457443725243939,Na mesma
2025-09-12,2025-09-11,5,Cai muito,"{""Cai"": 0.08391283662453161, ""Cai muito"": 0.6678370147900072, ""Na mesma"": 0.17355988391469235, ""Sobe"": 0.06328497454098735, ""Sobe muito"": 0.011405290129781401}",,,,
2025-09-12,2025-09-11,30,Cai muito,"{""Cai"": 0.05314349470537095, ""Cai muito"": 0.6302593611825649, ""Na mesma"": 0.07542354157186971, ""Sobe"": 0.12172505656801352, ""Sobe muito"": 0.11944854597218095}",,,,
2025-09-12,2025-09-11,90,Cai muito,"{""Cai"": 0.026544257021173148, ""Cai muito"": 0.9218169733651684, ""Na mesma"": 0.01774477131136716, ""Sobe"": 0.014838092728801008, ""Sobe muito"": 0.019055905573490264}",,,,
2025-09-13,2025-09-12,1,Na mesma,"{""Cai"": 0.16055128507576424, ""Cai muito"": 0.136611565329117, ""Na mesma"": 0.5034267456018963, ""Sobe"": 0.1682650672866658, ""Sobe muito"": 0.031145336706556653}",2583.75,2591.0,0.002805999032414127,Na mesma
2025-09-13,2025-09-12,5,Cai muito,"{""Cai"": 0.08962371963477649, ""Cai muito"": 0.5753110170879168, ""Na mesma"": 0.2726895583459819, ""Sobe"": 0.055597566260291206, ""Sobe muito"": 0.006778138671033699}",,,,
2025-09-13,2025-09-12,30,Cai muito,"{""Cai"": 0.012663693577889235, ""Cai muito"": 0.8434370800036538, ""Na mesma"": 0.02711269587508121, ""Sobe"": 0.08501429701563165, ""Sobe muito"": 0.03177223352774397}",,,,
